timestamp_ns,phase_sin,phase_cos,cmd_linear_x,cmd_linear_y,cmd_angular_z,base_euler_x,base_euler_y,base_euler_z,base_ang_vel_x,base_ang_vel_y,base_ang_vel_z,action_left_hip_pitch_joint,pos_left_hip_pitch_joint,vel_left_hip_pitch_joint,effort_left_hip_pitch_joint,pos_des_raw_left_hip_pitch_joint,pos_des_lpf_left_hip_pitch_joint,tau_des_raw_left_hip_pitch_joint,tau_des_lpf_left_hip_pitch_joint,is_parallel_left_hip_pitch_joint,action_left_hip_roll_joint,pos_left_hip_roll_joint,vel_left_hip_roll_joint,effort_left_hip_roll_joint,pos_des_raw_left_hip_roll_joint,pos_des_lpf_left_hip_roll_joint,tau_des_raw_left_hip_roll_joint,tau_des_lpf_left_hip_roll_joint,is_parallel_left_hip_roll_joint,action_left_hip_yaw_joint,pos_left_hip_yaw_joint,vel_left_hip_yaw_joint,effort_left_hip_yaw_joint,pos_des_raw_left_hip_yaw_joint,pos_des_lpf_left_hip_yaw_joint,tau_des_raw_left_hip_yaw_joint,tau_des_lpf_left_hip_yaw_joint,is_parallel_left_hip_yaw_joint,action_left_knee_pitch_joint,pos_left_knee_pitch_joint,vel_left_knee_pitch_joint,effort_left_knee_pitch_joint,pos_des_raw_left_knee_pitch_joint,pos_des_lpf_left_knee_pitch_joint,tau_des_raw_left_knee_pitch_joint,tau_des_lpf_left_knee_pitch_joint,is_parallel_left_knee_pitch_joint,action_left_ankle_pitch_joint,pos_left_ankle_pitch_joint,vel_left_ankle_pitch_joint,effort_left_ankle_pitch_joint,pos_des_raw_left_ankle_pitch_joint,pos_des_lpf_left_ankle_pitch_joint,tau_des_raw_left_ankle_pitch_joint,tau_des_lpf_left_ankle_pitch_joint,is_parallel_left_ankle_pitch_joint,action_left_ankle_roll_joint,pos_left_ankle_roll_joint,vel_left_ankle_roll_joint,effort_left_ankle_roll_joint,pos_des_raw_left_ankle_roll_joint,pos_des_lpf_left_ankle_roll_joint,tau_des_raw_left_ankle_roll_joint,tau_des_lpf_left_ankle_roll_joint,is_parallel_left_ankle_roll_joint,action_right_hip_pitch_joint,pos_right_hip_pitch_joint,vel_right_hip_pitch_joint,effort_right_hip_pitch_joint,pos_des_raw_right_hip_pitch_joint,pos_des_lpf_right_hip_pitch_joint,tau_des_raw_right_hip_pitch_joint,tau_des_lpf_right_hip_pitch_joint,is_parallel_right_hip_pitch_joint,action_right_hip_roll_joint,pos_right_hip_roll_joint,vel_right_hip_roll_joint,effort_right_hip_roll_joint,pos_des_raw_right_hip_roll_joint,pos_des_lpf_right_hip_roll_joint,tau_des_raw_right_hip_roll_joint,tau_des_lpf_right_hip_roll_joint,is_parallel_right_hip_roll_joint,action_right_hip_yaw_joint,pos_right_hip_yaw_joint,vel_right_hip_yaw_joint,effort_right_hip_yaw_joint,pos_des_raw_right_hip_yaw_joint,pos_des_lpf_right_hip_yaw_joint,tau_des_raw_right_hip_yaw_joint,tau_des_lpf_right_hip_yaw_joint,is_parallel_right_hip_yaw_joint,action_right_knee_pitch_joint,pos_right_knee_pitch_joint,vel_right_knee_pitch_joint,effort_right_knee_pitch_joint,pos_des_raw_right_knee_pitch_joint,pos_des_lpf_right_knee_pitch_joint,tau_des_raw_right_knee_pitch_joint,tau_des_lpf_right_knee_pitch_joint,is_parallel_right_knee_pitch_joint,action_right_ankle_pitch_joint,pos_right_ankle_pitch_joint,vel_right_ankle_pitch_joint,effort_right_ankle_pitch_joint,pos_des_raw_right_ankle_pitch_joint,pos_des_lpf_right_ankle_pitch_joint,tau_des_raw_right_ankle_pitch_joint,tau_des_lpf_right_ankle_pitch_joint,is_parallel_right_ankle_pitch_joint,action_right_ankle_roll_joint,pos_right_ankle_roll_joint,vel_right_ankle_roll_joint,effort_right_ankle_roll_joint,pos_des_raw_right_ankle_roll_joint,pos_des_lpf_right_ankle_roll_joint,tau_des_raw_right_ankle_roll_joint,tau_des_lpf_right_ankle_roll_joint,is_parallel_right_ankle_roll_joint,clip_count,imu_quat_w,imu_quat_x,imu_quat_y,imu_quat_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z,actuator_cmd_effort_left_hip_pitch_actuator,actuator_state_effort_left_hip_pitch_actuator,actuator_cmd_effort_left_hip_roll_actuator,actuator_state_effort_left_hip_roll_actuator,actuator_cmd_effort_left_hip_yaw_actuator,actuator_state_effort_left_hip_yaw_actuator,actuator_cmd_effort_left_knee_pitch_actuator,actuator_state_effort_left_knee_pitch_actuator,actuator_cmd_effort_left_ankle_left_actuator,actuator_state_effort_left_ankle_left_actuator,actuator_cmd_effort_left_ankle_right_actuator,actuator_state_effort_left_ankle_right_actuator,actuator_cmd_effort_right_hip_pitch_actuator,actuator_state_effort_right_hip_pitch_actuator,actuator_cmd_effort_right_hip_roll_actuator,actuator_state_effort_right_hip_roll_actuator,actuator_cmd_effort_right_hip_yaw_actuator,actuator_state_effort_right_hip_yaw_actuator,actuator_cmd_effort_right_knee_pitch_actuator,actuator_state_effort_right_knee_pitch_actuator,actuator_cmd_effort_right_ankle_left_actuator,actuator_state_effort_right_ankle_left_actuator,actuator_cmd_effort_right_ankle_right_actuator,actuator_state_effort_right_ankle_right_actuator
1787538742372038598,-0.915153,0.403106,0.25,0,0,-0.0236977,0.0347185,2.91075,0.00343001,0.0014828,-0.000477417,-0.439134,0.395869,0.00306892,1.05006,0.180433,0.395367,nan,nan,0,0.298458,0.0441985,0.00306892,2.0757,0.199229,0.0445597,nan,nan,0,0.104361,-0.310732,-0.00920582,0.268623,-0.257819,-0.310609,nan,nan,0,-0.511099,0.512836,0.00306892,-6.86203,0.23445,0.512188,nan,nan,0,0.0960836,-0.211651,-0.00191697,2.07244,-0.161958,nan,1.74213,0.00405823,1,0.106191,-0.00108204,-0.00628607,0.476619,0.0530953,nan,1.63475,0.00380808,1,0.449348,-0.39817,0.00306892,-0.415138,-0.175326,-0.397651,nan,nan,0,0.652964,-0.0474586,0.00920582,-0.317459,0.276482,-0.046704,nan,nan,0,-0.218824,0.307856,0.00306892,0.757019,0.200588,0.307606,nan,nan,0,-0.74548,0.512836,-0.00920582,-6.91087,0.11726,0.511915,nan,nan,0,0.68436,-0.213722,4.27199e-07,4.41548,0.13218,nan,12.1066,0.0282017,1,-0.199003,0.00536409,-0.00314437,-4.1942,-0.0995016,nan,-3.14125,-0.00731743,1,0,0.114936,-0.018606,-0.009769,0.99315,0.00343001,0.0014828,-0.000477417,-0.421752,0.151249,9.72549,0,-1.05006,0,-2.0757,0,-0.268623,0,6.86203,0,0.891331,-0,-0.402931,0,0.415138,0,0.317459,0,-0.757019,0,-6.91087,0,-0.76923,-0,-3.52869
1787538742381551218,-0.875247,0.483676,0.25,0,3.97721e-05,-0.0236599,0.0347506,2.91071,0.00154683,0.00437123,-0.00228045,-0.520593,0.395869,0.00306892,0.366302,0.139703,0.325296,nan,nan,0,0.181339,0.0441985,0.00306892,1.44078,0.140669,0.0947792,nan,nan,0,0.164243,-0.310732,0.00306892,0.268623,-0.227879,-0.293352,nan,nan,0,-0.594926,0.512836,0.00920582,-3.63858,0.192537,0.421667,nan,nan,0,-0.0989389,-0.211651,-0.00766551,1.13398,-0.259469,nan,-1.66214,0.561177,1,-0.01473,-0.00108204,-0.00314572,0.238294,-0.007365,nan,-0.18377,0.529769,1,0.537726,-0.39817,0.00920582,0.122101,-0.131137,-0.325165,nan,nan,0,0.852187,-0.0474586,0.00306892,0.0732574,0.376093,0.0587482,nan,nan,0,-0.0700142,0.307856,-0.00920582,0.268623,0.274993,0.272937,nan,nan,0,-0.495012,0.512836,-0.00306892,-3.73627,0.242494,0.383718,nan,nan,0,0.383788,-0.213721,-0.0326007,1.52387,-0.0181062,nan,6.89543,3.94863,1,-0.20054,0.00575738,0.0691835,-1.62052,-0.10027,nan,-3.28459,-1.02843,1,0,0.114956,-0.01862,-0.009748,0.993148,0.00154683,0.00437123,-0.00228045,-0.408335,0.166581,9.71771,0,-0.366302,0,-1.44078,0,-0.268623,0,3.63858,0.388864,0.476189,0.0825018,-0.231991,0,-0.122101,0,-0.0732574,0,-0.268623,0,-3.73627,0.612291,-0.354092,-1.52022,-1.30647
1787538742391398279,-0.828448,0.560065,0.25,0,5.01516e-05,-0.0236524,0.0347715,2.9107,-0.00060994,0.00328635,-0.000971241,-0.202707,0.395869,-0.00920582,-1.29426,0.298647,0.223848,nan,nan,0,0.430961,0.0441985,0.00920582,2.02686,0.265481,0.139799,nan,nan,0,0.1721,-0.310732,0.00920582,0.708183,-0.22395,-0.26186,nan,nan,0,-0.40027,0.513028,0.0214815,-9.74359,0.289865,0.293805,nan,nan,0,-0.0101735,-0.211652,-0.0498283,0.742892,-0.215087,nan,-0.0454886,0.184027,1,0.0647529,-0.00206357,-0.0345876,0.333731,0.0323765,nan,1.08508,0.627992,1,0.585778,-0.39817,0.00920582,1.73382,-0.107111,-0.219121,nan,nan,0,0.863155,-0.0474586,0.0214815,3.68742,0.381578,0.224323,nan,nan,0,-0.00267158,0.307472,-0.0767183,-0.463982,0.308664,0.253074,nan,nan,0,-0.386715,0.513028,-0.0153437,-13.5043,0.296642,0.261858,nan,nan,0,0.410329,-0.213719,-0.139999,3.83019,-0.00483539,nan,7.52093,7.25855,1,-0.28277,0.0106688,0.465384,-2.02543,-0.141385,nan,-5.25968,-2.45074,1,0,0.114961,-0.01863,-0.009743,0.993147,-0.00060994,0.00328635,-0.000971241,-0.408988,0.158537,9.72387,0,1.3431,0,-2.02686,0,-0.65934,0,9.74359,0.417612,0.354092,0.246936,0.0366287,0,-1.92918,0,-3.44322,0,0.610504,0,-14.2857,1.02486,0.28083,-3.39602,-2.16117
1787538742401384177,-0.775254,0.631649,0.25,0,6.23306e-05,-0.0236313,0.034796,2.91069,0.00775797,-0.00316435,0.00174145,-0.186795,0.395486,-0.046031,-3.58974,0.306603,0.209356,nan,nan,0,0.462494,0.0441985,0.0153437,3.44322,0.281247,0.191836,nan,nan,0,0.199969,-0.310348,0.0644436,1.44078,-0.210016,-0.236109,nan,nan,0,-0.293487,0.512453,-0.107405,-18.4371,0.343257,0.244488,nan,nan,0,0.0420322,-0.213729,-0.044095,0.351619,-0.188984,nan,0.932236,-0.282752,1,0.065423,0.000725887,0.00627124,0.428956,0.0327115,nan,0.950162,0.66935,1,0.491969,-0.397787,0.0521679,3.73627,-0.154015,-0.142168,nan,nan,0,0.703221,-0.0466914,0.101268,9.15751,0.301611,0.341143,nan,nan,0,-0.0342771,0.30613,-0.168779,-0.805862,0.292861,0.269979,nan,nan,0,-0.373676,0.511494,-0.217878,-20.7814,0.303162,0.240272,nan,nan,0,0.368942,-0.213705,0.103474,5.62868,-0.0255292,nan,6.43095,8.07563,1,-0.290374,0.0149909,0.380415,-2.26362,-0.145187,nan,-5.37596,-3.95862,1,0,0.114967,-0.018641,-0.009731,0.993146,0.00775797,-0.00316435,0.00174145,-0.466715,0.20223,9.53302,0,3.19902,0,-3.24786,0,-1.29426,0,19.2186,0.250779,0.32967,0.417944,0.305252,0,-4.17583,0,-9.05983,0,0.805862,0,-20.7814,0.562264,0.671551,-4.47405,-3.16239
1787538742411357174,-0.715361,0.698755,0.25,0,-0.000106199,-0.0234002,0.0344458,2.91085,0.0227978,-0.0446399,0.0341354,-0.33246,0.394527,-0.11968,-3.15018,0.23377,0.252325,nan,nan,0,0.328429,0.0443902,0.0276184,5.78754,0.214214,0.24583,nan,nan,0,0.151825,-0.308814,0.162642,1.97802,-0.234088,-0.219361,nan,nan,0,-0.170433,0.509193,-0.340627,-20.293,0.404783,0.2724,nan,nan,0,0.0793078,-0.213729,-0.0383374,-0.0393194,-0.170346,nan,1.57592,0.0404361,1,0.0718113,0.000529482,0.0471485,0.619681,0.0359056,nan,0.990562,0.828139,1,0.173476,-0.396636,0.150368,5.49451,-0.313262,-0.121765,nan,nan,0,0.510999,-0.0443902,0.303802,11.3065,0.2055,0.363293,nan,nan,0,-0.102584,0.303829,-0.230153,-0.122101,0.258708,0.287968,nan,nan,0,-0.348557,0.507276,-0.4511,-19.2674,0.315721,0.264995,nan,nan,0,0.217792,-0.209546,0.41747,7.35501,-0.101104,nan,3.16928,7.51743,1,-0.328631,0.0176079,0.0532201,-3.8874,-0.164316,nan,-5.53753,-4.9489,1,0,0.114888,-0.018453,-0.009638,0.99316,0.0227978,-0.0446399,0.0341354,0.317048,0.442587,9.60053,0,3.15018,0,-5.78754,0,-1.97802,0,20.293,0.413129,0.305252,0.421897,0.32967,0,-5.49451,0,-11.3065,0,0.122101,0,-19.2674,-0.12485,0.305252,-4.87856,-4.28571
1787538742421482773,-0.649018,0.760773,0.25,0,-0.00110987,-0.0231676,0.0333607,2.91186,-0.0206965,0.0250559,0.0944248,-0.113493,0.39261,-0.205604,-2.17339,0.343254,0.266133,nan,nan,0,0.28297,0.0449653,0.0644436,7.64347,0.191485,0.254591,nan,nan,0,0.136213,-0.306705,0.254703,2.17339,-0.241894,-0.218522,nan,nan,0,-0.102105,0.505359,-0.469513,-16.4347,0.438947,0.334272,nan,nan,0,0.0666396,-0.21373,-0.0459951,0.273395,-0.17668,nan,1.36572,0.767293,1,0.108466,0.000922291,0.128896,0.571964,0.0542329,nan,1.40597,0.91961,1,0.292884,-0.394144,0.291528,4.32234,-0.253558,-0.184398,nan,nan,0,0.688121,-0.0399799,0.506338,10.7692,0.29406,0.307168,nan,nan,0,-0.101052,0.301911,-0.174916,-0.0244217,0.259474,0.283651,nan,nan,0,-0.2473,0.502099,-0.567711,-16.5324,0.36635,0.294058,nan,nan,0,0.317707,-0.205388,0.447675,8.22263,-0.0511463,nan,4.72696,5.68548,1,-0.321227,0.0170821,-0.015978,-4.9413,-0.160614,nan,-5.30691,-5.37399,1,0,0.114399,-0.017896,-0.009594,0.993227,-0.0206965,0.0250559,0.0944248,1.0115,0.694566,12.1516,0,2.17339,0,-7.64347,0,-2.17339,0,16.4347,0.685087,0.37851,0.25147,0.207569,0,-4.32234,0,-10.7692,0,0.0244217,0,-16.5324,-0.896765,0.0366287,-4.57246,-5.09158
1787538742431321515,-0.578773,0.815488,0.25,0,-0.00172667,-0.023308,0.0341338,2.91248,-0.0274367,0.160154,0.00964664,0.0586525,0.389925,-0.291528,-0.366302,0.429326,0.289344,nan,nan,0,0.180612,0.0457325,0.0889931,8.22955,0.140306,0.229277,nan,nan,0,0.107194,-0.30402,0.291528,1.63614,-0.256403,-0.228576,nan,nan,0,-0.257869,0.499798,-0.506338,-10.4274,0.361065,0.395074,nan,nan,0,0.0917699,-0.21373,-0.0229788,0.586056,-0.164115,nan,1.77098,1.27666,1,0.0944729,0.00210121,0.198079,0.667254,0.0472364,nan,1.05694,1.08306,1,0.560304,-0.3905,0.389727,3.73627,-0.119848,-0.243516,nan,nan,0,0.730226,-0.033844,0.647498,9.49939,0.315113,0.272186,nan,nan,0,-0.0795059,0.299994,-0.174916,0.170937,0.270247,0.270562,nan,nan,0,-0.138262,0.496538,-0.635223,-13.1136,0.420869,0.328427,nan,nan,0,0.510799,-0.201238,0.284789,6.1519,0.0453994,nan,8.20512,4.49514,1,-0.309374,0.0175364,-0.0566494,-5.11369,-0.154687,nan,-5.08173,-5.45544,1,0,0.114086,-0.018285,-0.009625,0.993255,-0.0274367,0.160154,0.00964664,-0.223382,0.480185,12.2275,0,0.366302,0,-8.22955,0,-1.63614,0,10.4274,0.934074,0.525032,0.157042,0.15873,0,-3.73627,0,-9.49939,0,-0.170937,0,-13.1136,-1.37226,-0.695972,-4.20538,-4.52991
1787538742441436755,-0.503798,0.863821,0.25,0,-0.00156405,-0.0235507,0.0350951,2.91231,-0.0560752,0.168741,-0.0659428,-0.00401307,0.386857,-0.352901,-0.21978,0.397993,0.34954,nan,nan,0,0.165397,0.0463076,0.0521679,7.39927,0.132699,0.187788,nan,nan,0,0.0903494,-0.301336,0.273115,1.5873,-0.264825,-0.242338,nan,nan,0,-0.285806,0.495388,-0.457238,-7.35043,0.347097,0.406156,nan,nan,0,0.107783,-0.211647,0.0383584,0.703626,-0.156108,nan,1.88632,1.54855,1,0.120915,0.000882551,0.254576,0.786786,0.0604574,nan,1.40538,1.15676,1,0.625677,-0.386857,0.432689,2.3199,-0.0871617,-0.219278,nan,nan,0,0.639804,-0.0277081,0.69046,10.0855,0.269902,0.281214,nan,nan,0,-0.1086,0.298076,-0.248566,0.122101,0.2557,0.265374,nan,nan,0,-0.111545,0.490594,-0.678185,-10.4274,0.434227,0.373284,nan,nan,0,0.561877,-0.201237,0.0401964,5.60284,0.0709385,nan,9.46583,5.50458,1,-0.268,0.01499,-0.206926,-5.25755,-0.134,nan,-4.15931,-5.28584,1,0,0.114158,-0.018777,-0.009689,0.993237,-0.0560752,0.168741,-0.0659428,-1.68581,-0.058417,10.9363,0,0.268623,0,-7.59463,0,-1.63614,0,7.35043,1.06957,0.76923,0.11461,0.15873,0,-2.71062,0,-10.1343,0,-0.21978,0,-10.232,-1.0544,-0.94017,-4.37511,-4.28571
1787538742451477781,-0.423338,0.905972,0.25,0,6.72193e-05,-0.0243677,0.0382391,2.91068,-0.0343401,0.0874485,-0.0994,-0.180151,0.382255,-0.426551,0.415138,0.309924,0.393177,nan,nan,0,0.195237,0.0464993,0.0153437,6.27595,0.147618,0.15181,nan,nan,0,0.11397,-0.299227,0.138092,1.53846,-0.253015,-0.255344,nan,nan,0,-0.320557,0.491169,-0.395864,-6.2271,0.329722,0.38201,nan,nan,0,0.109029,-0.211643,0.141854,1.05548,-0.155485,nan,1.75272,1.74363,1,0.127696,0.00736285,0.392895,1.09672,0.0638482,nan,1.10522,1.16657,1,0.590997,-0.381871,0.463376,3.05251,-0.104502,-0.153701,nan,nan,0,0.431821,-0.0206132,0.598398,12.674,0.165911,0.285192,nan,nan,0,-0.183818,0.294049,-0.426551,0.757019,0.218091,0.261696,nan,nan,0,-0.203136,0.483499,-0.598398,-7.78999,0.388432,0.411932,nan,nan,0,0.53188,-0.203318,-0.0840418,5.75734,0.05594,nan,9.20011,7.56639,1,-0.214042,0.00927447,-0.373147,-5.06421,-0.107021,nan,-2.92915,-4.77998,1,0,0.114938,-0.020393,-0.009898,0.993113,-0.0343401,0.0874485,-0.0994,-2.44059,1.55709,8.87473,0,-0.415138,0,-6.27595,0,-1.53846,0,6.2271,1.13909,0.891331,0.0594685,0.231991,0,-3.05251,0,-12.674,0,-0.757019,0,-7.78999,-0.178789,-0.793652,-4.76981,-4.3834
1787538742461426462,-0.340719,0.940165,0.25,0,0.000372782,-0.0245039,0.0385768,2.91038,-0.0203483,0.0134598,-0.0110338,-0.313043,0.37842,-0.420414,0.903542,0.243479,0.377364,nan,nan,0,0.0449082,0.0464993,-0.0214806,4.71307,0.0724541,0.138298,nan,nan,0,0.130997,-0.298076,0.125817,1.05006,-0.244501,-0.259327,nan,nan,0,-0.335469,0.487334,-0.371314,-8.13187,0.322266,0.353227,nan,nan,0,0.212082,-0.209552,0.212649,1.52564,-0.103959,nan,3.37677,1.80618,1,0.178473,0.0102633,0.50894,1.04951,0.0892365,nan,1.60579,1.09916,1,0.472326,-0.377461,0.494062,4.95727,-0.163837,-0.110673,nan,nan,0,-0.0387417,-0.0160112,0.469513,12.674,-0.0693708,0.244226,nan,nan,0,-0.295484,0.288681,-0.64136,1.68498,0.162258,0.245473,nan,nan,0,-0.277467,0.479088,-0.4511,-6.95971,0.351267,0.417357,nan,nan,0,0.565272,-0.201254,0.103294,6.58375,0.072636,nan,9.43119,8.91873,1,-0.116166,0.0087219,-0.373106,-4.94691,-0.058083,nan,-1.44449,-3.90587,1,0,0.115086,-0.02057,-0.009943,0.993092,-0.0203483,0.0134598,-0.0110338,-1.28016,1.98698,8.42688,0,-0.854698,0,-4.46886,0,-1.0989,0,7.39927,1.13192,1.01343,0.00542628,0.10989,0,-4.32234,0,-12.2833,0,-1.88034,0,-6.2271,0.708782,-0.476189,-4.79679,-4.62759
1787538742471244038,-0.256008,0.966675,0.25,0,-0.000600921,-0.0244975,0.0382429,2.91135,-0.0124408,-0.0874504,0.170231,-0.367843,0.374393,-0.402001,0.757019,0.216078,0.318539,nan,nan,0,-0.224926,0.0461159,-0.0153437,3.10134,-0.0624632,0.114838,nan,nan,0,0.143577,-0.297118,0.0705805,1.19658,-0.238211,-0.254396,nan,nan,0,-0.301032,0.483499,-0.408138,-8.81563,0.339484,0.332232,nan,nan,0,0.15521,-0.207456,0.269926,1.83988,-0.132395,nan,2.22225,2.29147,1,0.251319,0.016692,0.58402,1.05009,0.125659,nan,2.39299,1.16513,1,0.290437,-0.372283,0.543161,5.10378,-0.254782,-0.116673,nan,nan,0,-0.474288,-0.0125594,0.291528,12.674,-0.287144,0.118528,nan,nan,0,-0.398746,0.281394,-0.733422,1.48962,0.110627,0.209719,nan,nan,0,-0.311882,0.475637,-0.266977,-7.00854,0.334059,0.392265,nan,nan,0,0.59798,-0.199177,0.282746,8.11713,0.0889899,nan,9.66172,9.38751,1,-0.022936,0.00679994,-0.0158224,-4.73401,-0.011468,nan,-0.524305,-2.74191,1,0,0.114605,-0.020399,-0.009969,0.993151,-0.0124408,-0.0874504,0.170231,-0.871653,1.39739,9.40314,0,-0.903542,0,-3.00366,0,-1.29426,0,9.84127,1.28325,1.08669,-0.10631,-0.0366287,0,-5.29915,0,-12.674,0,-1.44078,0,-7.10622,1.45833,0.10989,-4.37416,-5.06715
1787538742481245204,-0.168086,0.985772,0.25,0,-0.00291581,-0.0244352,0.0371316,2.91366,0.00160384,-0.108732,0.294863,-0.346619,0.370558,-0.365176,-0.415138,0.226691,0.258277,nan,nan,0,-0.563411,0.0463076,0.0153437,2.75946,-0.231705,0.0439094,nan,nan,0,0.122263,-0.296543,0.0889931,1.00122,-0.248868,-0.246289,nan,nan,0,-0.203907,0.478705,-0.5002,-9.05983,0.388047,0.327918,nan,nan,0,0.17731,-0.205356,0.285006,1.99803,-0.121345,nan,2.51287,2.53444,1,0.309748,0.0235071,0.577392,1.28957,0.154874,nan,3.07492,1.59935,1,-0.00464754,-0.366531,0.604536,4.81075,-0.402324,-0.171352,nan,nan,0,-0.597359,-0.0112171,0.0767183,7.54578,-0.348679,-0.0758269,nan,nan,0,-0.404901,0.274107,-0.727284,0.757019,0.107549,0.16078,nan,nan,0,-0.258563,0.47372,-0.193329,-7.93651,0.360718,0.360382,nan,nan,0,0.502227,-0.197092,0.28624,9.45637,0.0411134,nan,7.90783,9.5349,1,0.0211147,0.00918406,0.52898,-3.6349,0.0105573,nan,-0.752272,-1.67355,1,0,0.113464,-0.019832,-0.010025,0.993293,0.00160384,-0.108732,0.294863,-0.226426,1.4119,9.5365,0,0.415138,0,-2.75946,0,-1.00122,0,9.05983,1.58018,1.28205,-7.86633e-05,0.0366287,0,-4.81075,0,-7.54578,0,-0.757019,0,-7.93651,2.06653,1.08669,-3.86261,-4.79853
1787538742491344749,-0.0786046,0.996906,0.25,0,-0.00609003,-0.0240711,0.0361276,2.91684,0.031552,-0.0578615,0.322283,-0.240742,0.367106,-0.346765,-1.73382,0.279629,0.226355,nan,nan,0,-0.9999,0.0463076,0.00920582,0.610504,-0.44995,-0.0814434,nan,nan,0,-0.0285625,-0.295009,0.193329,0.854698,-0.324281,-0.243972,nan,nan,0,-0.0958928,0.473145,-0.573849,-8.27839,0.442054,0.348505,nan,nan,0,0.32137,-0.201158,0.28462,2.54988,-0.0493152,nan,4.88755,2.49974,1,0.485992,0.0261447,0.513987,1.48252,0.242996,nan,5.73456,2.31794,1,-0.317534,-0.360204,0.635223,3.00366,-0.558767,-0.274219,nan,nan,0,-0.54941,-0.0117927,-0.107405,1.00122,-0.324705,-0.247416,nan,nan,0,-0.339381,0.267204,-0.678185,-0.561661,0.14031,0.123186,nan,nan,0,0.0524118,0.471802,-0.199466,-9.05983,0.516206,0.348665,nan,nan,0,0.406863,-0.194982,0.373447,8.83467,-0.00656836,nan,6.0343,9.01097,1,0.0122311,0.0156721,0.991485,-2.3904,0.00611553,nan,-1.77392,-1.1586,1,0,0.111898,-0.019297,-0.009932,0.993482,0.031552,-0.0578615,0.322283,0.414457,1.02306,8.72305,0,1.73382,0,-0.610504,0,-0.854698,0,8.27839,1.92167,1.55067,0.365467,-0.0366287,0,-3.00366,0,-1.00122,0,0.561661,0,-9.05983,2.22512,1.52625,-3.43039,-3.96825
1787538742501314811,0.0107305,0.999942,0.25,0,-0.0090541,-0.0232875,0.0358438,2.9198,0.083988,-0.0132715,0.270499,-0.109144,0.363463,-0.371314,-1.53846,0.345428,0.236129,nan,nan,0,-1.71948,0.0461159,-0.0337563,-3.2967,-0.809742,-0.257984,nan,nan,0,-0.361838,-0.29309,0.187191,1.05006,-0.490919,-0.270752,nan,nan,0,-0.0983939,0.4672,-0.579986,-7.78999,0.440803,0.390606,nan,nan,0,0.390779,-0.201153,0.23674,3.14012,-0.0146104,nan,6.17387,3.25246,1,0.712594,0.0353515,0.473204,2.31953,0.356297,nan,8.91856,3.72541,1,-0.632519,-0.354067,0.616811,1.0989,-0.71626,-0.413768,nan,nan,0,-0.436109,-0.0139022,-0.254703,-4.46886,-0.268055,-0.331236,nan,nan,0,-0.23638,0.260684,-0.684322,-1.92918,0.19181,0.117096,nan,nan,0,0.5329,0.469693,-0.248566,-9.05983,0.75645,0.402917,nan,nan,0,0.205873,-0.188697,0.575658,7.98465,-0.107063,nan,1.9937,7.6286,1,-0.0214504,0.0311864,1.41083,-1.91153,-0.0107252,nan,-3.37359,-1.41471,1,0,0.110435,-0.019098,-0.009587,0.993653,0.083988,-0.0132715,0.270499,0.343512,0.974412,9.02397,0,1.53846,0,3.2967,0,-1.05006,0,7.78999,2.79403,2.16117,0.840523,0.207569,0,-1.0989,0,4.46886,0,1.92918,0,-9.05983,1.7256,1.50183,-3.11233,-3.45543
1787538742511298096,0.10072,0.994915,0.25,0,-0.0118824,-0.022257,0.0354589,2.92263,0.0854096,0.0226763,0.2851,-0.230466,0.359436,-0.408138,-1.8315,0.284767,0.281251,nan,nan,0,-2.52983,0.0453486,-0.113543,-10.7692,-1.21492,-0.513735,nan,nan,0,-0.735092,-0.291748,0.131955,0.268623,-0.677546,-0.358352,nan,nan,0,-0.0782322,0.462407,-0.506338,-4.71307,0.450884,0.425867,nan,nan,0,0.456228,-0.19904,0.211668,3.45903,0.0181141,nan,7.28289,4.65614,1,0.922799,0.040187,0.50736,3.70845,0.4614,nan,11.8753,6.07968,1,-0.769586,-0.348506,0.537024,-0.512817,-0.784793,-0.570719,nan,nan,0,-0.20117,-0.0177369,-0.438826,-7.98535,-0.150585,-0.329707,nan,nan,0,-0.0298509,0.253207,-0.751834,-1.63614,0.295075,0.144072,nan,nan,0,0.810096,0.466625,-0.26084,-3.88278,0.895048,0.550543,nan,nan,0,0.000192635,-0.182339,0.779661,6.93634,-0.209904,nan,-2.13425,5.04412,1,-0.0221561,0.045669,1.70229,-1.74262,-0.011078,nan,-4.25584,-2.42434,1,0,0.109042,-0.018837,-0.009123,0.993816,0.0854096,0.0226763,0.2851,0.301142,0.873704,9.68764,0,1.8315,0,10.7692,0,-0.268623,0,4.71307,4.37656,2.96703,1.57244,0.818069,0,0.512817,0,7.98535,0,1.63614,0,-3.88278,0.479437,1.25763,-2.82999,-3.04029
